PORTFOLIO,SECURITY,CCY_ID,VDATE,MV,NI,I
EQUITY,SEC_52162,AUD,31/12/2019,"8,702.65","8,922.96",0
EQUITY,SEC_53193,AUD,31/12/2019,"13,495.33","13,495.33",0
EQUITY,SEC_53431,GBP,31/12/2019,"5,508.22","5,591.59",0
EQUITY,SEC_55215,AUD,31/12/2019,"3,346.26","3,539.56",0
EQUITY,SEC_59945,AUD,31/12/2019,"16,826.19","17,393.09",0
EQUITY,SEC_61895,GBP,31/12/2019,"6,071.62","6,102.34",0
EQUITY,SEC_781,AUD,31/12/2019,"10,908.40","11,161.63",0
EQUITY,SEC_801,GBP,31/12/2019,"88,746.23","89,694.03",0
EQUITY,SEC_816,GBP,31/12/2019,"29,982.82","30,220.77",0
EQUITY,SEC_833,GBP,31/12/2019,"75,707.04","75,813.48",0
EQUITY,SEC_848,AUD,31/12/2019,"12,326.06","12,684.29",0
EQUITY,SEC_921,AUD,31/12/2019,"8,365.07","8,684.75",0
EQUITY,SEC_212,AUD,31/12/2019,"69,815.83","70,297.69",0
EQUITY,SEC_995,GBP,31/12/2019,"5,798.26","5,858.25",0
EQUITY,SEC_1025,GBP,31/12/2019,"4,578.97","4,623.28",0
EQUITY,SEC_1071,GBP,31/12/2019,"6,973.44","6,966.40",0
EQUITY,SEC_1080,GBP,31/12/2019,"18,072.60","18,352.92",0
EQUITY,SEC_1083,AUD,31/12/2019,"9,928.71","10,109.22",0
EQUITY,SEC_1099,GBP,31/12/2019,"43,821.72","44,256.42",0
EQUITY,SEC_1141,GBP,31/12/2019,"4,163.37","4,214.07",0
EQUITY,SEC_1168,GBP,31/12/2019,"5,103.03","5,073.51",0
EQUITY,SEC_1243,AUD,31/12/2019,"71,008.62","71,758.18",0
EQUITY,SEC_1263,AUD,31/12/2019,"23,246.38","23,100.37",0
EQUITY,SEC_1265,GBP,31/12/2019,"9,350.00","9,496.55",0
EQUITY,SEC_1276,AUD,31/12/2019,"4,472.97","4,554.90",0
EQUITY,SEC_1327,GBP,31/12/2019,"6,432.93","6,552.94",0
EQUITY,SEC_1396,GBP,31/12/2019,"4,981.43","5,092.47",0
EQUITY,SEC_254,AUD,31/12/2019,"13,464.09","13,778.88",0
EQUITY,SEC_1446,GBP,31/12/2019,"4,205.23","4,266.07",0
EQUITY,SEC_1459,GBP,31/12/2019,"37,671.19","37,593.20",0
EQUITY,SEC_1464,AUD,31/12/2019,"16,932.93","17,143.28",0
EQUITY,SEC_1471,GBP,31/12/2019,"39,285.07","39,782.94",0
EQUITY,SEC_1485,GBP,31/12/2019,"43,474.17","43,835.91",0
EQUITY,SEC_1488,GBP,31/12/2019,"37,042.50","37,071.66",0
EQUITY,SEC_1495,GBP,31/12/2019,"8,377.47","8,425.55",0
EQUITY,SEC_1517,GBP,31/12/2019,"11,805.72","11,885.20",0
EQUITY,SEC_1521,GBP,31/12/2019,"11,623.17","11,700.56",0
EQUITY,SEC_1527,GBP,31/12/2019,"50,883.88","50,929.08",0
EQUITY,SEC_1542,GBP,31/12/2019,"4,068.51","4,148.14",0
EQUITY,SEC_1557,AUD,31/12/2019,"14,482.71","14,783.69",0
EQUITY,SEC_1575,GBP,31/12/2019,"4,144.57","4,170.67",0
EQUITY,SEC_1603,GBP,31/12/2019,"5,982.45","6,060.95",0
EQUITY,SEC_1610,GBP,31/12/2019,"83,662.85","83,961.70",0
EQUITY,SEC_1645,GBP,31/12/2019,"9,809.21","9,802.65",0
EQUITY,SEC_1648,GBP,31/12/2019,"16,026.88","16,144.95",0
EQUITY,SEC_1651,GBP,31/12/2019,"6,683.18","6,681.20",0
EQUITY,SEC_1682,GBP,31/12/2019,"19,421.35","19,568.57",0
EQUITY,SEC_1691,AUD,31/12/2019,"11,015.70","11,230.29",0
EQUITY,SEC_1712,GBP,31/12/2019,"5,834.27","5,830.15",0
EQUITY,SEC_1743,GBP,31/12/2019,"6,343.18","6,362.85",0
EQUITY,SEC_1756,GBP,31/12/2019,"24,992.98","25,022.36",0
EQUITY,SEC_1843,GBP,31/12/2019,"48,283.61","48,533.32",0
EQUITY,SEC_1919,AUD,31/12/2019,"46,940.99","47,598.60",0
EQUITY,SEC_1931,AUD,31/12/2019,"84,560.97","85,154.25",0
EQUITY,SEC_1935,GBP,31/12/2019,"6,478.71","6,522.83",0
EQUITY,SEC_1948,GBP,31/12/2019,"15,690.95","15,773.41",0
EQUITY,SEC_1950,AUD,31/12/2019,"32,184.89","32,690.40",0
EQUITY,SEC_1952,GBP,31/12/2019,"13,458.32","13,496.18",0
EQUITY,SEC_309,GBP,31/12/2019,"30,986.54","31,090.03",0
