From,To,Date,XR
AUD,AUD,31/12/2019,1
GBP,AUD,31/12/2019,1.88455943
NZD,AUD,31/12/2019,0.95974079
AUD,AUD,01/01/2020,1
GBP,AUD,01/01/2020,1.88455943
NZD,AUD,01/01/2020,0.95974079
AUD,AUD,02/01/2020,1
GBP,AUD,02/01/2020,1.88325336
NZD,AUD,02/01/2020,0.9585862
AUD,AUD,03/01/2020,1
GBP,AUD,03/01/2020,1.87896108
NZD,AUD,03/01/2020,0.95867166
AUD,AUD,04/01/2020,1
GBP,AUD,04/01/2020,1.87896108
NZD,AUD,04/01/2020,0.95867166
AUD,AUD,05/01/2020,1
GBP,AUD,05/01/2020,1.87896108
NZD,AUD,05/01/2020,0.95867166
AUD,AUD,06/01/2020,1
GBP,AUD,06/01/2020,1.89803383
NZD,AUD,06/01/2020,0.96199633
AUD,AUD,07/01/2020,1
GBP,AUD,07/01/2020,1.91024157
NZD,AUD,07/01/2020,0.96571331
AUD,AUD,08/01/2020,1
GBP,AUD,08/01/2020,1.91073066
NZD,AUD,08/01/2020,0.96776285
AUD,AUD,09/01/2020,1
GBP,AUD,09/01/2020,1.90384443
NZD,AUD,09/01/2020,0.96337629
AUD,AUD,10/01/2020,1
GBP,AUD,10/01/2020,1.89132092
NZD,AUD,10/01/2020,0.96147929
AUD,AUD,11/01/2020,1
GBP,AUD,11/01/2020,1.89132092
NZD,AUD,11/01/2020,0.96147929
AUD,AUD,12/01/2020,1
GBP,AUD,12/01/2020,1.89132092
NZD,AUD,12/01/2020,0.96147929
AUD,AUD,13/01/2020,1
GBP,AUD,13/01/2020,1.87937071
NZD,AUD,13/01/2020,0.95981449
AUD,AUD,14/01/2020,1
GBP,AUD,14/01/2020,1.88515983
NZD,AUD,14/01/2020,0.95739772
AUD,AUD,15/01/2020,1
GBP,AUD,15/01/2020,1.88637958
NZD,AUD,15/01/2020,0.95640606
AUD,AUD,16/01/2020,1
GBP,AUD,16/01/2020,1.89403625
NZD,AUD,16/01/2020,0.96296253
AUD,AUD,17/01/2020,1
GBP,AUD,17/01/2020,1.89417617
NZD,AUD,17/01/2020,0.96097112
AUD,AUD,18/01/2020,1
GBP,AUD,18/01/2020,1.89417617
NZD,AUD,18/01/2020,0.96097112
AUD,AUD,19/01/2020,1
GBP,AUD,19/01/2020,1.89417617
NZD,AUD,19/01/2020,0.96097112
AUD,AUD,20/01/2020,1
GBP,AUD,20/01/2020,1.89274567
NZD,AUD,20/01/2020,0.96075415
AUD,AUD,21/01/2020,1
GBP,AUD,21/01/2020,1.9039278
NZD,AUD,21/01/2020,0.9639186
AUD,AUD,22/01/2020,1
GBP,AUD,22/01/2020,1.9212665
NZD,AUD,22/01/2020,0.9640329
AUD,AUD,23/01/2020,1
GBP,AUD,23/01/2020,1.91609423
NZD,AUD,23/01/2020,0.96261214
AUD,AUD,24/01/2020,1
GBP,AUD,24/01/2020,1.91388292
NZD,AUD,24/01/2020,0.96770666
AUD,AUD,25/01/2020,1
GBP,AUD,25/01/2020,1.91388292
NZD,AUD,25/01/2020,0.96770666
AUD,AUD,26/01/2020,1
GBP,AUD,26/01/2020,1.91388292
NZD,AUD,26/01/2020,0.96770666
AUD,AUD,27/01/2020,1
GBP,AUD,27/01/2020,1.91388292
NZD,AUD,27/01/2020,0.96770666
AUD,AUD,28/01/2020,1
GBP,AUD,28/01/2020,1.92254822
NZD,AUD,28/01/2020,0.9660865
AUD,AUD,29/01/2020,1
GBP,AUD,29/01/2020,1.92879283
NZD,AUD,29/01/2020,0.96706655
AUD,AUD,30/01/2020,1
GBP,AUD,30/01/2020,1.95384624
NZD,AUD,30/01/2020,0.96756434
AUD,AUD,31/01/2020,1
GBP,AUD,31/01/2020,1.96908148
NZD,AUD,31/01/2020,0.96668887
