PORTFOLIO,SECURITY,CCY_ID,VDATE,MV,NI,I
FIXED_INCOME,SEC_0F403,AUD,31/12/2019,"284,152.30",40.26,79.71
FIXED_INCOME,SEC_0JK21,AUD,31/12/2019,"286,983.19",41.39,77.93
FIXED_INCOME,SEC_0NF72,AUD,31/12/2019,"6,827.19",1.00,1.92
FIXED_INCOME,SEC_0P6D3,AUD,31/12/2019,"54,624.53",8.04,15.58
FIXED_INCOME,SEC_0QX34,AUD,31/12/2019,"18,521.69",3.60,5.61
FIXED_INCOME,SEC_135M7,AUD,31/12/2019,"48,542.07",7.21,13.66
FIXED_INCOME,SEC_14Z13,AUD,31/12/2019,"67,550.79",12.17,23.25
FIXED_INCOME,SEC_18757,AUD,31/12/2019,"35,384.72",5.88,11.73
FIXED_INCOME,SEC_20L07,AUD,31/12/2019,"8,314.36",1.36,2.38
FIXED_INCOME,SEC_5VV22,AUD,31/12/2019,"8,151.60",1.22,2.43
FIXED_INCOME,SEC_5XT07,AUD,31/12/2019,"20,804.83",3.27,6.48
FIXED_INCOME,SEC_65ST7,AUD,31/12/2019,"8,014.68",1.33,2.66
FIXED_INCOME,SEC_F7DR0,AUD,31/12/2019,"4,478.03",0.67,1.18
FIXED_INCOME,SEC_JMG89,AUD,31/12/2019,"197,436.65",23.41,46.42
FIXED_INCOME,SEC_RSV19,AUD,31/12/2019,"64,895.06",10.74,21.22
FIXED_INCOME,SEC_B4135,AUD,31/12/2019,"68,389.18",8.75,17.25
FIXED_INCOME,SEC_33D13,AUD,31/12/2019,"95,183.64",14.66,27.58
FIXED_INCOME,SEC_L1154,AUD,31/12/2019,"291,988.62",40.74,78.16
FIXED_INCOME,SEC_LP6G4,AUD,31/12/2019,"68,749.08",9.12,17.18
FIXED_INCOME,SEC_27BZ2,AUD,31/12/2019,"101,757.60",16.97,29.93
FIXED_INCOME,SEC_TLS84,AUD,31/12/2019,"86,865.45",12.26,24.46
FIXED_INCOME,SEC_1X0S5,AUD,31/12/2019,"58,022.01",8.83,16.92
FIXED_INCOME,SEC_GCL71,AUD,31/12/2019,"21,677.74",2.90,5.74
FIXED_INCOME,SEC_XPYX9,AUD,31/12/2019,"372,661.77",47.70,85.95
FIXED_INCOME,SEC_9G4J0,AUD,31/12/2019,"7,837.45",1.20,2.22
FIXED_INCOME,SEC_DNVC5,AUD,31/12/2019,"63,316.37",9.13,16.47
FIXED_INCOME,SEC_G1P31,AUD,31/12/2019,"5,795.80",0.69,1.37
FIXED_INCOME,SEC_T8C00,AUD,31/12/2019,"302,194.70",24.84,47.11
FIXED_INCOME,SEC_7MHZ3,AUD,31/12/2019,"93,691.86",11.97,21.77
FIXED_INCOME,SEC_GDGQ2,AUD,31/12/2019,"341,824.98",35.60,61.68
FIXED_INCOME,SEC_C2TJ2,AUD,31/12/2019,"11,520.00",1.38,2.65
FIXED_INCOME,SEC_HX8C2,AUD,31/12/2019,"5,937.14",0.63,1.23
FIXED_INCOME,SEC_J9PN9,AUD,31/12/2019,"50,329.34",5.47,10.47
FIXED_INCOME,SEC_B58P4,AUD,31/12/2019,"312,211.10",28.83,53.77
FIXED_INCOME,SEC_GLT68,AUD,31/12/2019,"32,899.45",3.12,5.99
FIXED_INCOME,SEC_FQLZ9,AUD,31/12/2019,"6,917.88",0.82,1.59
FIXED_INCOME,SEC_T0FY6,AUD,31/12/2019,"3,508.17",0.44,0.79
FIXED_INCOME,SEC_B1T83,AUD,31/12/2019,"46,120.21",6.74,11.55
FIXED_INCOME,SEC_VN390,AUD,31/12/2019,"31,052.97",3.36,6.59
FIXED_INCOME,SEC_Y95J9,AUD,31/12/2019,"190,724.44",24.69,41.21
FIXED_INCOME,SEC_1H156,AUD,31/12/2019,"4,181.75",0.55,0.95
FIXED_INCOME,SEC_2QB59,AUD,31/12/2019,"387,797.50",45.98,84.54
FIXED_INCOME,SEC_LJC13,AUD,31/12/2019,"100,626.24",15.00,25.63
FIXED_INCOME,SEC_GWFB7,AUD,31/12/2019,"17,018.66",1.76,3.42
FIXED_INCOME,SEC_37N03,AUD,31/12/2019,"5,598.70",0.58,1.13
FIXED_INCOME,SEC_43T98,AUD,31/12/2019,"8,441.86",0.86,1.69
FIXED_INCOME,SEC_H0QN2,AUD,31/12/2019,"35,033.87",3.71,7.02
FIXED_INCOME,SEC_2CV78,AUD,31/12/2019,"157,643.52",21.10,34.18
FIXED_INCOME,SEC_423Y5,AUD,31/12/2019,"53,466.05",3.20,6.32
FIXED_INCOME,SEC_RCL18,AUD,31/12/2019,"89,529.94",6.69,12.88
FIXED_INCOME,SEC_LRJS8,AUD,31/12/2019,"182,870.28",9.13,18.17
FIXED_INCOME,SEC_107R6,AUD,31/12/2019,"13,439.94",1.15,2.15
FIXED_INCOME,SEC_TTT84,AUD,31/12/2019,"7,598.31",0.83,1.43
FIXED_INCOME,SEC_ZGWL1,AUD,31/12/2019,"112,793.33",8.98,17.16
FIXED_INCOME,SEC_PZ4H6,AUD,31/12/2019,"53,316.73",5.24,9.04
FIXED_INCOME,SEC_KRZ04,AUD,31/12/2019,"84,715.65",9.10,15.02
FIXED_INCOME,SEC_T3F72,AUD,31/12/2019,"311,597.55",25.99,48.32
FIXED_INCOME,SEC_C6M61,AUD,31/12/2019,"24,866.05",2.64,4.41
FIXED_INCOME,SEC_STF39,AUD,31/12/2019,"62,568.75",6.58,11.03
FIXED_INCOME,SEC_7Q1D5,AUD,31/12/2019,"56,001.32",3.94,7.65
FIXED_INCOME,SEC_9XF58,AUD,31/12/2019,"1,329.35",0.18,0.30
FIXED_INCOME,SEC_KXNT0,AUD,31/12/2019,"62,060.74",8.06,12.33
FIXED_INCOME,SEC_ZSDY8,AUD,31/12/2019,"308,888.10",20.54,37.71
FIXED_INCOME,SEC_XPW89,AUD,31/12/2019,"5,583.80",0.39,0.76
FIXED_INCOME,SEC_PNXQ9,AUD,31/12/2019,"26,617.63",2.51,4.42
FIXED_INCOME,SEC_SM6R1,AUD,31/12/2019,"7,213.41",1.05,1.61
FIXED_INCOME,SEC_HWLH9,AUD,31/12/2019,"3,055.70",0.12,0.24
FIXED_INCOME,SEC_S90J5,AUD,31/12/2019,"66,052.44",8.40,13.04
FIXED_INCOME,SEC_KDPB1,AUD,31/12/2019,"20,277.66",0.85,1.65
FIXED_INCOME,SEC_N4N96,AUD,31/12/2019,"158,594.98",26.16,37.68
FIXED_INCOME,SEC_SCRX2,AUD,31/12/2019,"5,312.19",0.45,0.85
FIXED_INCOME,SEC_6QY06,AUD,31/12/2019,"70,701.36",6.85,11.32
FIXED_INCOME,SEC_G66Y8,AUD,31/12/2019,"21,011.87",1.47,2.66
FIXED_INCOME,SEC_P6QX5,AUD,31/12/2019,"41,089.86",3.49,6.16
FIXED_INCOME,SEC_N2QB4,AUD,31/12/2019,"181,848.90",8.93,17.83
FIXED_INCOME,SEC_5QFV0,AUD,31/12/2019,"8,393.42",1.82,2.49
FIXED_INCOME,SEC_Z10Y1,AUD,31/12/2019,"286,810.15",24.33,44.74
FIXED_INCOME,SEC_TN617,AUD,31/12/2019,"16,607.29",1.65,2.84
FIXED_INCOME,SEC_SDN29,AUD,31/12/2019,"8,096.62",0.71,1.30
FIXED_INCOME,SEC_F55S4,AUD,31/12/2019,"62,185.04",5.13,9.62
FIXED_INCOME,SEC_SVGY4,AUD,31/12/2019,"43,836.56",3.90,7.06
FIXED_INCOME,SEC_2LDF9,AUD,31/12/2019,"5,187.13",0.36,0.71
FIXED_INCOME,SEC_MR8J2,AUD,31/12/2019,"171,727.99",10.26,20.13
FIXED_INCOME,SEC_WZ2R3,AUD,31/12/2019,"43,786.71",6.59,10.27
FIXED_INCOME,SEC_HPSK5,AUD,31/12/2019,"62,641.64",6.36,10.84
FIXED_INCOME,SEC_5W5Z1,AUD,31/12/2019,"8,458.04",0.98,1.72
FIXED_INCOME,SEC_L0025,AUD,31/12/2019,"1,948.80",0.28,0.45
FIXED_INCOME,SEC_Z2FC7,AUD,31/12/2019,"3,527.35",0.49,0.80
FIXED_INCOME,SEC_HP462,AUD,31/12/2019,"2,627.81",0.30,0.53
FIXED_INCOME,SEC_70BH0,AUD,31/12/2019,"294,977.88",25.24,46.05
FIXED_INCOME,SEC_QJ967,AUD,31/12/2019,"2,394.04",0.33,0.55
FIXED_INCOME,SEC_RGF04,AUD,31/12/2019,"6,064.90",0.58,1.02
FIXED_INCOME,SEC_8K1G3,AUD,31/12/2019,"29,263.77",4.06,6.32
FIXED_INCOME,SEC_FR980,AUD,31/12/2019,"288,661.53",22.34,40.48
FIXED_INCOME,SEC_YDQ31,AUD,31/12/2019,"22,035.60",1.87,3.46
FIXED_INCOME,SEC_13F09,AUD,31/12/2019,"53,174.95",5.23,8.90
FIXED_INCOME,SEC_K2CM0,AUD,31/12/2019,"5,635.32",0.55,1.00
FIXED_INCOME,SEC_90LN4,AUD,31/12/2019,"4,962.73",0.71,1.09
FIXED_INCOME,SEC_PXHM1,AUD,31/12/2019,"50,509.42",6.82,10.75
